precio,tasacion_AU,km,matric,cv,acabado,motor,valoracion_AU,dias,portal,id,version,url
9590,,118913,2016,140,Basis,1.4L Gasolina,,60,,220903243,1.4 Turbo Basis,https://www.autouncle.de/es/d/220903243
10400,11999,86512,Feb 2018,140,Basis,1.4L Gasolina,,375,,199181066,1.4 Basis OPC-Line-Paket,https://www.autouncle.de/es/d/199181066
17390,,83020,Sep 2017,280,OPC,2.0L Gasolina,,44,,222150737,2.0 OPC NAPPA BOSE XENON,https://www.autouncle.de/es/d/222150737
14490,14990,85000,Jul 2014,349,OPC,2.0L Gasolina,,16,Kleinanzeigen,224107302,OPC EDS/EVENTURI/DOWNPIPE,https://www.autouncle.de/es/d/224107302
13500,,43000,2017,200,,1.6L Gasolina,,8,Kleinanzeigen,224580433,,https://www.autouncle.de/es/d/224580433
16250,16500,92485,2014,280,OPC,2.0L Gasolina,,22,Kleinanzeigen,223601043,OPC 2.0 Turbo,https://www.autouncle.de/es/d/223601043
17100,19000,115000,2017,280,OPC,2.0L Gasolina,,50,Kleinanzeigen,221685033,,https://www.autouncle.de/es/d/221685033
16500,,48541,Mar 2014,280,OPC,2.0L Gasolina,,12,mobile.de,224296901,2.0 OPC Klappenauspuff,https://www.autouncle.de/es/d/224296901
12700,13900,121000,2015,200,OPC,1.6L Gasolina,,103,Kleinanzeigen,218183962,OPC line,https://www.autouncle.de/es/d/218183962
12700,12900,121100,2015,200,,1.6L Gasolina,,55,Kleinanzeigen,221242412,OPCLine,https://www.autouncle.de/es/d/221242412
9950,10950,137500,Abr 2018,140,,1.4L Gasolina,,31,mobile.de,222938279,1.4 Turbo 140PS BI-XENON,https://www.autouncle.de/es/d/222938279
15555,,53000,2016,280,OPC,2.0L Gasolina,,23,Kleinanzeigen,223578565,OPC TURBO NAVI SCHALENSITZE XENON,https://www.autouncle.de/es/d/223578565
8980,,95914,May 2016,140,,1.4L Gasolina,,24,Autoscout24,223500856,1.4T SHZ LENK-HZ KLIMA,https://www.autouncle.de/es/d/223500856
8900,,101000,May 2015,140,,1.4L Gasolina,,109,mobile.de,217757384,Astra J,https://www.autouncle.de/es/d/217757384
13500,,102000,Jul 2014,280,OPC,2.0L Gasolina,,9,Autoscout24,224516733,OPC 3 puertas,https://www.autouncle.de/es/d/224516733
10900,11100,108333,Ago 2015,200,OPC,1.6L Gasolina,,62,Autoscout24,220809834,OPC Line,https://www.autouncle.de/es/d/220809834
11990,12290,100000,2017,200,Excite,1.6L Gasolina,,157,Autoscout24,214538619,OPC-Line Excite TUV,https://www.autouncle.de/es/d/214538619
15000,,85000,Jul 2017,120,Edition,1.4L Gasolina,,98,Autoscout24,218550789,GTC 1.4 Edition,https://www.autouncle.de/es/d/218550789
12200,11490,112217,Feb 2014,170,Innovation,1.6L Gasolina,,1085,,161887348,Innovation 20Zoll,https://www.autouncle.de/es/d/161887348
12000,,39500,Oct 2015,140,,1.4L Gasolina,,1279,,147507371,1.4 Turbo ecoFLEX Start/Stop,https://www.autouncle.de/es/d/147507371
11200,,67000,May 2016,140,Active,1.4L Gasolina,,2,Autoscout24,224904047,GTC 1.4 Active,https://www.autouncle.de/es/d/224904047
